jurisdiction_code,title,form_template_key,form_template_label,template_category,route_sensitive,qdmtt_context_expected,manual_review_required
GI,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
GI,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
GI,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
GI,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
GI,GloBE Tax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
GI,GloBE Tax Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
GI,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
GI,Payment (Transitional),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
GI,Registration,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
GI,Registration (Transitional),REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
GR,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
GR,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
GR,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
GR,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
GR,GloBE Tax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
GR,GloBE Tax Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
GR,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
GR,Payment (Transitional),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
GU,DMTT Return,QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
GU,DMTT Return (Transitional Year),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
GU,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
GU,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
GU,GloBE Tax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
GU,GloBE Tax Return (Transitional Year),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
GU,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
GU,Payment (Transitional),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
GU,Registration,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
HK,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
HK,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
HK,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
